"Unidade da Federação";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"11 Rondônia";1407886;1431777;1455907;1562085;1534594;1562417;1453756;1493566;1503928;1560501;1576455;1590011;1728214;1748531;1768204;1787279;1805788;1757589;1777225
"12 Acre";574355;586942;600595;630328;669736;686652;655385;680073;691132;732793;746386;758786;776463;790101;803513;816687;829619;869265;881935
"13 Amazonas";2900240;2961801;3031068;3138726;3232330;3311026;3221940;3341096;3393369;3480937;3538387;3590985;3807921;3873743;3938336;4001667;4063614;4080611;4144597
"14 Roraima";337237;346871;357302;381896;391317;403344;395725;412783;421499;451227;460165;469524;488072;496936;505665;514229;522636;576568;605761
"15 Pará";6341736;6453683;6574993;6850181;6970586;7110465;7090378;7321493;7457119;7588078;7688593;7822205;7999729;8104880;8206923;8305359;8366628;8513497;8602865
"16 Amapá";498735;516511;534835;547400;594587;615715;587311;613164;626609;668689;684309;698602;734996;750912;766679;782295;797722;829494;845731
"17 Tocantins";1184895;1207014;1230181;1262644;1305728;1332441;1243627;1280509;1292051;1383453;1400892;1417694;1478164;1496880;1515126;1532902;1550194;1555229;1572866
"21 Maranhão";5730467;5803224;5873655;6021504;6103327;6184538;6118995;6305539;6367138;6569683;6645761;6714314;6794301;6850884;6904241;6954036;7000229;7035055;7075181
"22 Piauí";2873010;2898223;2923725;2977259;3006885;3036290;3032435;3119697;3145325;3119015;3140328;3160748;3184166;3194718;3204028;3212180;3219257;3264531;3273227
"23 Ceará";7547620;7654535;7758441;7976563;8097276;8217085;8185250;8450527;8547809;8448055;8530155;8606005;8778576;8842791;8904459;8963663;9020460;9075649;9132078
"24 Rio Grande do Norte";2815244;2852784;2888058;2962107;3003087;3043760;3013740;3106430;3137541;3168133;3198657;3228198;3373959;3408510;3442175;3474998;3507003;3479010;3506853
"25 Paraíba";3468594;3494893;3518595;3568350;3595886;3623215;3641397;3742606;3769977;3766834;3791315;3815171;3914421;3943885;3972202;3999415;4025558;3996496;4018127
"26 Pernambuco";8008207;8084667;8161862;8323911;8413593;8502603;8486638;8734194;8810256;8796032;8864906;8931028;9208550;9277727;9345173;9410336;9473266;9496294;9557071
"27 Alagoas";2856629;2887535;2917664;2980910;3015912;3050652;3037231;3127557;3156108;3120922;3143384;3165472;3300935;3321730;3340932;3358963;3375823;3322820;3337357
"28 Sergipe";1817301;1846039;1874613;1934596;1967791;2000738;1939426;1999374;2019679;2068031;2089819;2110867;2195662;2219574;2242937;2265779;2288116;2278308;2298696
"29 Bahia";13214114;13323212;13435612;13682074;13815334;13950146;14080670;14502575;14637364;14021432;14097534;14175341;15044137;15126371;15203934;15276566;15344447;14812617;14873064
"31 Minas Gerais";18127096;18343517;18553312;18993720;19237450;19479356;19273533;19850072;20033665;19595309;19728701;19855332;20593356;20734097;20869101;20997560;21119536;21040662;21168791
"32 Espírito Santo";3155016;3201722;3250219;3352024;3408365;3464285;3351669;3453648;3487199;3512672;3547055;3578067;3839366;3885049;3929911;3973697;4016356;3972388;4018650
"33 Rio de Janeiro";14558545;14724475;14879118;15203750;15383407;15561720;15420450;15872362;16010429;15993583;16112678;16231365;16369179;16461173;16550024;16635996;16718956;17159960;17264943
"35 São Paulo";37630106;38177742;38709320;39825226;40442795;41055734;39827690;41011635;41384039;41252160;41587182;41901219;43663669;44035304;44396484;44749699;45094866;45538936;45919049
"41 Paraná";9694709;9798006;9906866;10135388;10261856;10387378;10284503;10590169;10686247;10439601;10512349;10577755;10997465;11081692;11163018;11242720;11320892;11348937;11433957
"42 Santa Catarina";5448736;5527707;5607233;5774178;5866568;5958266;5866487;6052587;6118743;6249682;6317054;6383286;6634254;6727148;6819190;6910553;7001161;7075494;7164788
"43 Rio Grande do Sul";10309819;10408540;10510992;10726063;10845087;10963219;10582887;10855214;10914128;10695532;10733030;10770603;11164043;11207274;11247972;11286500;11322895;11329605;11377239
"50 Mato Grosso do Sul";2111036;2140624;2169688;2230702;2264468;2297981;2265813;2336058;2360498;2449341;2477542;2505088;2587269;2619657;2651235;2682386;2713147;2748023;2778986
"51 Mato Grosso";2560584;2604742;2651335;2749145;2803274;2856999;2854642;2957732;3001692;3033991;3075936;3115336;3182113;3224357;3265486;3305531;3344544;3441998;3484466
"52 Goiás";5116462;5210335;5306459;5508245;5619917;5730753;5647035;5844996;5926300;6004045;6080716;6154996;6434048;6523222;6610681;6695855;6778772;6921161;7018354
"53 Distrito Federal";2097447;2145839;2189789;2282049;2333108;2383784;2455903;2557158;2606885;2562963;2609998;2648532;2789761;2852372;2914830;2977216;3039444;2974703;3015268
"Total";172385826;174632960;176871437;181581024;184184264;186770562;184014516;189612814;191506729;190732694;192379287;193976530;201062789;202799518;204482459;206114067;207660929;208494900;210147125
